date,locality,state,location,title,size_text,size_low,size_high,organizations,participants,claims,valence,event_type,police_measures,participant_measures,police_injuries,participant_injuries,arrests,property_damage,police_deaths,participant_deaths,macroevent,notes,coder,source1,source2,source3,source4,source5,source6,source7,source8,source9,source10,source11,source12,source13,source14,source15,source16,source17,source18,source19,source20,source21,source22,source23,source24,source25,source26,source27,source28,source29,source30
2021-06-08,Albany,NY,Washington Ave & South Swan St,,count video,30,40,Center for Community Alternatives,elected officials; advocates,"for state Clean Slate legislation, for automatic expunging of criminal records upon inmates' completion of time served, communities not cages",1,rally,,,,,,,,,,,,https://cbs6albany.com/news/local/rally-calls-for-immediate-passage-of-clean-slate-legislation,https://www.news10.com/news/ny-capitol-news/advocates-rally-for-end-of-session-priorities/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Albany,NY,West Capitol Park,,count video,20,30,People's Campaign for Parole Justice; New Hour,,"for Elder Parole and Fair & Timely Parole Acts, for parole justice",1,rally; occupation,,set up camp at West Capitol Park,,,,,,,,,,https://www.news10.com/news/ny-capitol-news/advocates-rally-for-end-of-session-priorities/,https://twitter.com/RAPPcampaign/status/1402470178609373186,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Ashburn,VA,"Loudon County Public Schools, 21000 Education Court",,,,,Parents Against Critical Theory; Stand Up Virginia; Fight for Schools,,stop teaching critical race theory to our kids,2,protest,,disrupted board meeting,,,,,,,,armed security on scene due to death threats made against school board members in advance of meeting,,https://twitter.com/IAmAmnaNawaz/status/1402360964872278019,https://stoplcpscrt.com/2021/06/08/6-8-21-pact-outside-the-loudoun-county-school-board-meeting-this-is-unlike-any-school-board-meeting-around-the-country-ever/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Atlanta,GA,"Liberty Plaza, Georgia State Capitol",,,,,,faith leaders,"against voter suppression targeting Black and brown people, for federal legislation to protect voting rights",1,rally,,,,,,,,,,,,https://www.wrdw.com/2021/06/08/warnock-georgia-faith-leaders-pushing-action-voting-rights/,https://www.ajc.com/politics/church-leaders-protest-georgia-voting-law-and-seek-federal-oversight/N7EOH7KVMBFDVMMIYYJMER5WAQ/,https://www.wsbtv.com/news/local/faith-leaders-hold-protest-mass-prayer-against-georgias-new-voting-law/TCIJSVYBZJCRVCI7QSG3SAMLDE/,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Augusta,ME,Maine State House,All Hands on Deck Rally,over 50,50,50,Maine People’s Alliance; Maine Center for Economic Policy; Mainers for Tax Fairness; Mainers for Working Familie,,"for progressive state legislation, for affordable housing, for expanding access to health care, for supporting family caregivers and direct care workers, for investment in public transportation, for raising taxes on wealthy people",1,rally,,,,,,,,,,,,https://www.facebook.com/events/3209286232631632/,https://mainebeacon.com/mainers-urge-lawmakers-to-invest-in-me-at-state-house-rally/,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Brookwood,AL,Warror Met Coal Inc.,,,,,United Mine Workers of America,,against unfair labor practices at Warrior Met Coal,0,strike; picket,,,,,,,,,,,,https://twitter.com/TheRealNews/status/1402349208120840200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Charleston,WV,West Virginia State Capitol,,count video,40,50,United Steelworkers Local 8-957,labor unions; manufacturing workers,"against planned closure of Viatris Pharmaceutical facility in Morgantown, against job loss",0,protest,,,,,,,,,,,,https://www.wowktv.com/news/local/save-our-jobs-labor-groups-protest-outside-wv-capitol/,https://www.wvgazettemail.com/news/old-mylan-plant-workers-bus-to-charleston-to-protest-justice-says-new-owner-difficult-to/article_ac7bfd26-1880-5067-9753-b0a7ae69c678.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Dallas,TX,Paul Quinn College,For the People: The Texas Drive for Democracy,count pic,100,150,Powered by People,elected officials,"for democracy, for voting rights",1,rally,,,,,,,,,,Feat. Beto O'Rourke,,https://twitter.com/BetoORourke/status/1402492234482786304,https://twitter.com/BetoORourke/status/1402291316248154115,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,El Paso,TX,Fort Bliss,,dozens,24,24,Border Network for Human Rights; Coalition to End Child Detention; Reform Immigration for Texas Alliance,advocates,"against use of military base to detain unaccompanied migrant children, against family separations",1,protest,,,,,,,,,,,,https://www.ktsm.com/local/immigration-advocate-groups-protest-migrant-facility-at-fort-bliss/,https://kfoxtv.com/news/immigration/protest-targets-living-conditions-at-ft-bliss-migrant-facility-lawmakers-address-issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-08,Elizabeth City,NC,Eringhaus St,,count video,25,30,,,"for justice for Andrew Brown Jr., for police transparency and accountability, against police brutality, against racism",1,rally; march,,marched in street; occupied intersection,,,,,,,,,,https://twitter.com/PAWGsForBernie/status/1402385768358858755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
